striker,bowling_team,runs_scored,balls_faced,dismissals,strike_rate,average
AS Joseph,Ireland,26,52,3,50.0,8.666666666666666
AS Joseph,New Zealand,69,41,1,168.29268292682926,69.0
AS Joseph,Pakistan,24,66,3,36.36363636363637,8.0
AS Joseph,Scotland,6,7,1,85.71428571428571,6.0
AS Joseph,South Africa,14,14,0,100.0,
AS Joseph,Sri Lanka,0,5,1,0.0,0.0
AS Joseph,United States of America,3,6,1,50.0,3.0
AS Joseph,Zimbabwe,3,9,1,33.33333333333333,3.0
AS Luseno,Bermuda,0,1,0,0.0,
AS Luseno,Sri Lanka,0,2,1,0.0,0.0
AT Carey,Bangladesh,11,8,0,137.5,
AT Carey,England,346,377,9,91.77718832891246,38.44444444444444
AT Carey,India,365,374,12,97.59358288770053,30.416666666666668
AT Carey,New Zealand,211,247,4,85.4251012145749,52.75
AT Carey,Pakistan,165,188,6,87.7659574468085,27.5
AT Carey,South Africa,355,427,13,83.13817330210773,27.307692307692307
AT Carey,Sri Lanka,153,186,4,82.25806451612904,38.25
AT Carey,West Indies,157,213,4,73.70892018779342,39.25
AT Carey,Zimbabwe,40,53,2,75.47169811320755,20.0
AT Nidamanuru,England,32,39,2,82.05128205128204,16.0
AT Nidamanuru,Nepal,2,2,0,100.0,
AT Nidamanuru,Oman,2,3,1,66.66666666666666,2.0
AT Nidamanuru,Pakistan,39,58,3,67.24137931034483,13.0
AT Nidamanuru,Scotland,10,11,1,90.9090909090909,10.0
AT Nidamanuru,South Africa,48,71,1,67.6056338028169,48.0
AT Nidamanuru,Sri Lanka,0,4,2,0.0,0.0
AT Nidamanuru,United States of America,58,68,1,85.29411764705883,58.0
AT Nidamanuru,West Indies,181,149,4,121.47651006711409,45.25
AT Nidamanuru,Zimbabwe,129,133,4,96.99248120300751,32.25
AT Rayudu,Afghanistan,57,49,1,116.3265306122449,57.0
AT Rayudu,Australia,80,126,6,63.49206349206349,13.333333333333334
AT Rayudu,Bangladesh,86,137,6,62.77372262773723,14.333333333333334
AT Rayudu,England,152,218,3,69.72477064220183,50.666666666666664
AT Rayudu,Hong Kong,60,70,1,85.71428571428571,60.0
AT Rayudu,New Zealand,247,334,5,73.95209580838323,49.4
AT Rayudu,Pakistan,101,129,1,78.29457364341084,101.0
AT Rayudu,Sri Lanka,268,303,4,88.44884488448845,67.0
AT Rayudu,West Indies,274,302,5,90.72847682119205,54.8
AT Rayudu,Zimbabwe,369,524,3,70.41984732824427,123.0
AU Rashid,Australia,220,253,8,86.95652173913044,27.5
AU Rashid,Bangladesh,64,93,1,68.81720430107528,64.0
AU Rashid,India,41,43,3,95.34883720930233,13.666666666666666
AU Rashid,Ireland,49,45,2,108.88888888888889,24.5
AU Rashid,New Zealand,165,133,8,124.06015037593986,20.625
AU Rashid,Pakistan,31,40,2,77.5,15.5
AU Rashid,South Africa,102,97,7,105.15463917525774,14.571428571428571
AU Rashid,Sri Lanka,24,25,2,96.0,12.0
AU Rashid,West Indies,33,33,2,100.0,16.5
AV Lalcheta,Papua New Guinea,12,26,1,46.15384615384615,12.0
AV Lalcheta,Scotland,6,23,1,26.08695652173913,6.0
AY Karim,India,0,1,0,0.0,
AY Karim,South Africa,0,1,0,0.0,
Aamer Yamin,New Zealand,32,28,0,114.28571428571428,
Aamer Yamin,Zimbabwe,63,73,1,86.3013698630137,63.0
Aamir Kaleem,Scotland,13,17,1,76.47058823529412,13.0
Aamir Kaleem,United Arab Emirates,5,8,1,62.5,5.0
Aarif Sheikh,Namibia,95,174,3,54.59770114942529,31.666666666666668
Aarif Sheikh,Netherlands,6,4,1,150.0,6.0
Aarif Sheikh,Oman,129,181,5,71.27071823204419,25.8
Aarif Sheikh,Pakistan,26,39,1,66.66666666666666,26.0
Aarif Sheikh,Papua New Guinea,171,292,6,58.56164383561644,28.5
Aarif Sheikh,Scotland,17,41,4,41.46341463414634,4.25
Aarif Sheikh,United Arab Emirates,265,428,9,61.915887850467286,29.444444444444443
Aarif Sheikh,United States of America,73,98,3,74.48979591836735,24.333333333333332
Aarif Sheikh,West Indies,63,98,1,64.28571428571429,63.0
Aarif Sheikh,Zimbabwe,10,11,1,90.9090909090909,10.0
Aaron Jones,Canada,16,28,1,57.14285714285714,16.0
Aaron Jones,Jersey,8,28,1,28.57142857142857,8.0
Aaron Jones,Namibia,136,231,6,58.87445887445888,22.666666666666668
