striker,bowler,runs_scored,balls_faced,dismissals,strike_rate,average
A Balbirnie,CT Mutombodzi,6,8,0,75.0,
A Balbirnie,DJ Willey,25,37,2,67.56756756756756,12.5
A Balbirnie,DT Tiripano,19,32,0,59.375,
A Balbirnie,DW Steyn,6,5,0,120.0,
A Balbirnie,Dawlat Zadran,65,63,2,103.17460317460319,32.5
A Balbirnie,Ebadat Hossain,20,34,1,58.82352941176471,20.0
A Balbirnie,Ehsan Adil,6,9,0,66.66666666666666,
A Balbirnie,F Behardien,6,7,0,85.71428571428571,
A Balbirnie,F du Plessis,3,7,0,42.857142857142854,
A Balbirnie,FA Allen,15,10,0,150.0,
A Balbirnie,FJ Klaassen,9,44,0,20.454545454545457,
A Balbirnie,Fareed Ahmad,2,6,0,33.33333333333333,
A Balbirnie,Fayyaz Butt,1,2,0,50.0,
A Balbirnie,GJ Maxwell,9,6,0,150.0,
A Balbirnie,GLS Scrimshaw,8,7,1,114.28571428571428,8.0
A Balbirnie,Gulbadin Naib,55,87,2,63.2183908045977,27.5
A Balbirnie,H Masakadza,8,9,0,88.88888888888889,
A Balbirnie,HR Walsh,16,22,1,72.72727272727273,16.0
A Balbirnie,HS Baidwan,11,20,1,55.00000000000001,11.0
A Balbirnie,Haris Sohail,1,2,1,50.0,1.0
A Balbirnie,Hasan Mahmud,14,24,1,58.333333333333336,14.0
A Balbirnie,I Wardlaw,25,25,0,100.0,
A Balbirnie,IS Sodhi,3,4,0,75.0,
A Balbirnie,Imran Haider,11,13,0,84.61538461538461,
A Balbirnie,Imran Tahir,13,14,0,92.85714285714286,
A Balbirnie,J Nyumbu,11,25,1,44.0,11.0
A Balbirnie,JA Duffy,1,9,0,11.11111111111111,
A Balbirnie,JDS Neesham,2,8,0,25.0,
A Balbirnie,JE Root,1,3,0,33.33333333333333,
A Balbirnie,JE Taylor,8,7,1,114.28571428571428,8.0
A Balbirnie,JH Davey,15,52,1,28.846153846153843,15.0
A Balbirnie,JL Carter,11,6,1,183.33333333333331,11.0
A Balbirnie,JL Denly,11,15,1,73.33333333333333,11.0
A Balbirnie,JM Vince,13,15,1,86.66666666666667,13.0
A Balbirnie,JO Holder,43,60,0,71.66666666666667,
A Balbirnie,JT Ball,12,15,1,80.0,12.0
A Balbirnie,Junaid Siddique (2),2,7,0,28.57142857142857,
A Balbirnie,K Mahato,0,4,1,0.0,0.0
A Balbirnie,K Pierre,1,2,0,50.0,
